"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,,,,,,,,,,
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA,,,,,,,,,,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,,,,,,,,,,
INTERVALO DE TEMPO: SEMANAL,,,,,,,,,,,,,,
PERÍODO: 18/05/2025 A 24/05/2025,,,,,,,,,,,,,,
COMBUSTÍVEL: TODOS,,,,,,,,,,,,,,
TIPO RELATÓRIO: MUNICÍPIO,,,,,,,,,,,,,,
CNPJ,RAZÃO,FANTASIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICÍPIO,ESTADO,BANDEIRA,PRODUTO,UNIDADE DE MEDIDA,PREÇO DE REVENDA,DATA DA COLETA
 61602199.002.409/1   -  ,COMPANHIA ULTRAGAZ S A,ULTRAGAZ,RUA AMARO CASTRO LIMA,1852,,VILA NOVA CAMPO GRANDE,79106-361,CAMPO GRANDE,MATO GROSSO DO SUL,ULTRAGAZ,GLP,R$ / 13 kg,115.00,5/20/25
 3188.000.121/1   -  ,COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA,COMPETRO,RUA HUMBERTO DE CAMPOS,306,,JARDIM ZULMIRA,18061-000,SOROCABA,SAO PAULO,BRANCA,GASOLINA COMUM,R$ / litro,5.59,5/19/25
 3188.000.121/1   -  ,COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA,COMPETRO,RUA HUMBERTO DE CAMPOS,306,,JARDIM ZULMIRA,18061-000,SOROCABA,SAO PAULO,BRANCA,ETANOL,R$ / litro,3.69,5/19/25
 6980064.000.697/1   -  ,NACIONAL GAS BUTANO DISTRIBUIDORA LTDA,NACIONAL GÁS BUTANO,RUA PREFEITO ENIVALDO FIGUEIREDO MIRANDA,93,,CENTRO,58310-000,CABEDELO,PARAIBA,NACIONAL GÁS BUTANO,GLP,R$ / 13 kg,110.00,5/19/25
 19791896.007.024/1   -  ,SUPERGASBRAS ENERGIA LTDA,SUPERGASBRAS ENERGIA,AVENIDA DEP. PLINIO RIBEIRO,3220,,JARDIM PALMEIRAS,39402-194,MONTES CLAROS,MINAS GERAIS,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,115.00,5/20/25
 3608766.000.575/1   -  ,CARDINAL E OLIVEIRA LTDA,ACREGÁS,AVENIDA BOULEVARD THAUMATURGO,1031,,CENTRO,69980-000,CRUZEIRO DO SUL,ACRE,AMAZONGÁS,GLP,R$ / 13 kg,128.00,5/22/25
 3608766.000.575/1   -  ,CARDINAL E OLIVEIRA LTDA,ACREGÁS,AVENIDA BOULEVARD THAUMATURGO,1031,,CENTRO,69980-000,CRUZEIRO DO SUL,ACRE,VIBRA,GASOLINA COMUM,R$ / litro,8.07,5/22/25
 3608766.000.575/1   -  ,CARDINAL E OLIVEIRA LTDA,ACREGÁS,AVENIDA BOULEVARD THAUMATURGO,1031,,CENTRO,69980-000,CRUZEIRO DO SUL,ACRE,VIBRA,GASOLINA ADITIVADA,R$ / litro,8.07,5/22/25
 3608766.000.575/1   -  ,CARDINAL E OLIVEIRA LTDA,ACREGÁS,AVENIDA BOULEVARD THAUMATURGO,1031,,CENTRO,69980-000,CRUZEIRO DO SUL,ACRE,VIBRA,DIESEL S500,R$ / litro,8.17,5/22/25
 3608766.000.575/1   -  ,CARDINAL E OLIVEIRA LTDA,ACREGÁS,AVENIDA BOULEVARD THAUMATURGO,1031,,CENTRO,69980-000,CRUZEIRO DO SUL,ACRE,VIBRA,DIESEL S10,R$ / litro,8.17,5/22/25
